player_id,name,team,position,status,depth_position,starter_probability,injury_status,effective_date,source_url,source_type,confidence,review_date,notes
4870642,Jeremiah Cobb,AUB,RB,starter,RB1,0.85,healthy,2026-08-15,https://www.al.com/auburnfootball/2026/08/auburn-football-depth-chart-projections-offense.html,media,high,2026-09-05,Returning starter and camp lead. Not a 50/50 with Washington.
4954455,Bryson Washington,AUB,RB,committee,RB2,0.30,healthy,2026-08-15,https://www.al.com/auburnfootball/2026/08/which-running-backs-stood-out-during-auburns-first-preseason-scrimmage.html,media,medium,2026-09-05,Baylor transfer; camp RB2/RB3 mix with Mabson after offseason injuries. Not the workhorse.
5217041,Omar Mabson II,AUB,RB,backup,RB3,0.20,healthy,2026-08-15,https://www.al.com/auburnfootball/2026/08/which-running-backs-stood-out-during-auburns-first-preseason-scrimmage.html,media,medium,2026-09-05,Took RB2 reps for stretches of camp. No projection rewrite; fact only.
5197065,Ahmad Hardy,MIZ,RB,starter,RB1,1.00,out,2026-08-20,https://www.columbiatribune.com/story/sports/college/mizzou/2026/08/20/ahmad-hardy-injury-missouri/,media,high,2026-09-12,Drinkwitz: unavailable opener; mid-September return target. Workload ramp uncertain. games=10 of 12.
5141423,Jordon Davison,ORE,RB,starter,RB1,1.00,healthy,2026-08-12,https://www.oregonlive.com/ducks/2026/08/oregon-rb-coach-rashaad-samples-denies-report-jordon-davison-injured-during-practice.html,official,high,2026-09-05,Samples: practiced fully 2026-08-12; 2025 collarbone is not a 2026 6-game absence. games=12.
5193580,Cameron Dickey,TTU,RB,committee,RB1,0.50,healthy,2026-08-18,,media,medium,2026-09-05,Texas Tech committee with Williams. Shares of ONE team budget (not 0.85+0.85). Joyner is the residual third.
5086393,J'Koby Williams,TTU,RB,committee,RB1,0.50,healthy,2026-08-18,,media,medium,2026-09-05,Paired with Dickey. Primary 50/30/20 with Joyner leftover.
5146712,Dylan Riley,BOIS,RB,committee,RB1,0.50,healthy,2026-08-18,,media,medium,2026-09-05,Boise split with Gaines.
5147379,Sire Gaines,BOIS,RB,committee,RB1,0.50,healthy,2026-08-18,,media,medium,2026-09-05,Boise split with Riley.
5233016,King Miller,USC,RB,committee,RB1,0.50,healthy,2026-08-18,,media,medium,2026-09-05,USC 1-2 with Jordan.
5295318,Waymond Jordan,USC,RB,committee,RB2,0.50,healthy,2026-08-18,,media,medium,2026-09-05,USC 1-2 with Miller.
5153885,Rodney Nelson,M-OH,RB,committee,RB2,0.35,healthy,2026-08-18,,media,medium,2026-09-05,Ourlads RB2 behind D'Shawntae Jones. FCS transfer; 0.70 is opportunity not a translation model.
5079574,Jordan Marshall,MICH,RB,starter,RB1,0.90,healthy,2026-08-12,https://www.freep.com/story/sports/college/university-michigan/wolverines/2026/08/12/michigan-football-depth-chart-offense/91255241007/,media,high,2026-09-05,"Named Michigan RB1 and captain. Hiter is the reserve not a 50/50."
5078916,Joe Jackson,KSU,RB,committee,RB2,0.40,healthy,2026-08-18,,media,medium,2026-09-05,K-State 3-man backfield.
4870728,Kaden Feagin,ILL,TE,starter,TE1,1.00,healthy,2026-08-18,,media,medium,2026-09-05,Moved RB to TE after 122 carries / 16 receptions in 2025. Do not treat as RB scarcity. Usage rebuild not in this pass.
5227742,Nick Osho,UNT,RB,committee,RB3,0.25,healthy,2026-08-04,https://www.ourlads.com/ncaa-football-depth-charts/pfdepthchart/north-texas/92660,media,medium,2026-09-05,Ourlads RB3 behind White and Haygood. FCS-to-FBS; not the Mean Green lead.
4911971,Jahiem White,UNT,RB,starter,RB1,0.80,healthy,2026-08-18,https://www.ntdaily.com/sports/meet-the-mean-green-running-back-jahiem-white/article_a0a033ae-d24a-4db0-beda-b05a891665e6.html,media,medium,2026-09-05,"Coach: difference maker / leading back. 2025 knee; limited camp contact."
5142146,Thomas Gotkowski,M-OH,QB,injured,QB,0.05,out,2026-08-24,https://www.bythebelt.com/miami-names-mccomb-starting-qb-gotkowski-out-for-season/,media,high,2026-09-05,Season-ending non-contact camp injury. Not the 2026 starter.
5141549,David McComb,M-OH,QB,starter,QB1,1.00,healthy,2026-08-24,https://www.bythebelt.com/miami-names-mccomb-starting-qb-gotkowski-out-for-season/,official,high,2026-09-05,"Martin named McComb the starter. Kansas transfer with no college snaps. Named-starter prior applies. Heavner is QB2."
